11,Fairy Tail,Action,Adventure,Fantasy
12,Dr. Stone,Adventure,Comedy,Sci-Fi
13,Tengen Toppa Gurren Lagann,Action,Adventure,Comedy
14,JoJo no Kimyou na Bouken (TV),Action,Adventure,Supernatural
15,Overlord,Action,Adventure,Fantasy
16,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,Action,Adventure,Comedy
17,Tate no Yuusha no Nariagari,Action,Adventure,Drama
18,Fullmetal Alchemist,Action,Adventure,Drama
19,Kono Subarashii Sekai ni Shukufuku wo! 2,Adventure,Comedy,Fantasy
20,Tensei shitara Slime Datta Ken,Action,Adventure,Comedy
21,Made in Abyss,Adventure,Drama,Fantasy
22,Howl no Ugoku Shiro,Adventure,Drama,Fantasy
23,Vinland Saga,Action,Adventure,Drama
24,Samurai Champloo,Action,Adventure,Comedy
25,Mononoke Hime,Action,Adventure,Fantasy
26,Dragon Ball Z,Action,Adventure,Comedy
27,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,Action,Adventure,Drama
28,Dororo,Action,Adventure,Supernatural
29,Log Horizon,Action,Adventure,Fantasy
30,Nanatsu no Taizai: Imashime no Fukkatsu,Action,Adventure,Fantasy
31,Goblin Slayer,Action,Adventure,Fantasy
32,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,Action,Adventure,Comedy
33,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,Action,Adventure,Drama
34,Magi: The Labyrinth of Magic,Action,Adventure,Fantasy
36,Dragon Ball,Adventure,Comedy,Fantasy
37,Sword Art Online: Alicization,Action,Adventure,Fantasy
38,Fairy Tail (2014),Action,Adventure,Fantasy
39,Overlord II,Action,Adventure,Fantasy
41,Dr. Stone: Stone Wars,Adventure,Comedy,Sci-Fi
42,Kami no Tou,Action,Adventure,Drama
43,Magi: The Kingdom of Magic,Action,Adventure,Fantasy
44,Boruto: Naruto Next Generations,Action,Adventure,Fantasy
45,Tensei shitara Slime Datta Ken 2nd Season,Action,Adventure,Comedy
46,Akatsuki no Yona,Action,Adventure,Comedy
47,Zero no Tsukaima,Action,Adventure,Comedy
48,Mushishi,Adventure,Fantasy,Mystery
49,Ookami to Koushinryou,Adventure,Fantasy,Romance
50,Akira,Action,Adventure,Horror
51,Banana Fish,Action,Adventure,Drama
52,Dragon Ball Super,Action,Adventure,Comedy
53,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri",Action,Adventure,Fantasy
54,InuYasha,Action,Adventure,Comedy
55,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II,Action,Adventure,Comedy
56,Fumetsu no Anata e,Adventure,Drama,Supernatural
57,Trigun,Action,Adventure,Comedy
58,Hai to Gensou no Grimgar,Action,Adventure,Drama
59,Sword Art Online Movie: Ordinal Scale,Action,Adventure,Fantasy
60,Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,Adventure,Comedy,Fantasy
61,Nanatsu no Taizai: Seisen no Shirushi,Action,Adventure,Fantasy
62,Sword Art Online: Alicization - War of Underworld,Action,Adventure,Fantasy
63,D.Gray-man,Action,Adventure,Comedy
64,Nanatsu no Taizai: Kamigami no Gekirin,Action,Adventure,Fantasy
65,Claymore,Action,Adventure,Fantasy
66,Tate no Yuusha no Nariagari Season 2,Action,Adventure,Drama
67,Rokka no Yuusha,Action,Adventure,Fantasy
68,Little Witch Academia (TV),Adventure,Comedy,Fantasy
69,Satsuriku no Tenshi,Adventure,Horror,Suspense
70,Arifureta Shokugyou de Sekai Saikyou,Action,Adventure,Fantasy
71,Dragon Ball GT,Action,Adventure,Comedy
72,Pokemon,Action,Adventure,Comedy
73,Tensei shitara Slime Datta Ken 2nd Season Part 2,Action,Adventure,Comedy
74,Log Horizon 2nd Season,Action,Adventure,Fantasy
75,Great Pretender,Action,Adventure,Mystery
76,Kenpuu Denki Berserk,Action,Adventure,Drama
77,Hunter x Hunter,Action,Adventure,Fantasy
78,The Last: Naruto the Movie,Action,Adventure,Fantasy
79,Shinchou Yuusha: Kono Yuusha ga Ore Tueee Kuse ni Shinchou Sugiru,Action,Adventure,Comedy
80,Katanagatari,Action,Adventure,Romance
81,Sword Art Online: Alicization - War of Underworld 2nd Season,Action,Adventure,Fantasy
82,Drifters,Action,Adventure,Comedy
83,Majo no Takkyuubin,Adventure,Comedy,Drama
84,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri Part 2",Action,Adventure,Fantasy
86,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka III,Action,Adventure,Comedy
87,Kaifuku Jutsushi no Yarinaoshi,Adventure,Drama,Fantasy
88,Isekai wa Smartphone to Tomo ni.,Adventure,Comedy,Fantasy
89,Zero no Tsukaima: Futatsuki no Kishi,Action,Adventure,Comedy
91,Rurouni Kenshin: Meiji Kenkaku Romantan,Action,Adventure,Comedy
92,Ookami to Koushinryou II,Adventure,Fantasy,Romance
94,Sora yori mo Tooi Basho,Adventure,Comedy,Drama
95,Fairy Tail: Final Series,Action,Adventure,Fantasy
96,Magi: Sinbad no Bouken (TV),Action,Adventure,Fantasy
97,Maoyuu Maou Yuusha,Adventure,Fantasy,Romance
99,Itai no wa Iya nano de Bougyoryoku ni Kyokufuri Shitai to Omoimasu.,Action,Adventure,Comedy
0,Tenkuu no Shiro Laputa,Adventure,Fantasy,Romance
1,Boruto: Naruto the Movie,Action,Adventure,Fantasy
2,Zero no Tsukaima: Princesses no Rondo,Action,Adventure,Comedy
3,Koukyoushihen Eureka Seven,Adventure,Drama,Romance
4,Pandora Hearts,Adventure,Fantasy,Mystery
5,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka Gaiden: Sword Oratoria,Action,Adventure,Fantasy
6,Cardcaptor Sakura,Adventure,Comedy,Drama
7,Zero no Tsukaima F,Adventure,Fantasy,Romance
9,Shingeki no Bahamut: Genesis,Action,Adventure,Fantasy
10,Digimon Adventure,Action,Adventure,Comedy
11,Yu☆Gi☆Oh! Duel Monsters,Action,Adventure,Fantasy
13,Nanatsu no Taizai: Fundo no Shinpan,Action,Adventure,Fantasy
14,Hitsugi no Chaika,Action,Adventure,Comedy
15,Made in Abyss Movie 3: Fukaki Tamashii no Reimei,Adventure,Drama,Fantasy
16,Arslan Senki (TV),Action,Adventure,Drama
